Budget: Salesforce Sales Cloud Implementation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TARGET BUDGET,ACTUAL/FINAL SPEND,"UNDER/
OVER",,,,,,,,,,,,,,,,,
,,,,,,," $	300,020.00 "," $	301,020.00 "," $	(1,000.00)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,LABOR,,,MATERIALS,,FIXED COST,BUDGET,ACTUAL,UNDER/OVER,,,,,,,,,,,,,,,,,
MILESTONES & TASKS,EMPLOYEE,HOURS,RATE,UNITS,$/UNIT(S),,,,,,,,,,,,,,,,,,,,,
Milestone 1: Project Planning,,,,,,,,,,,,,,,,,,,,,,,,,,
Task 1: Initial Planning and Setup,Project Manager,100,$100,,,," $	10,000.00 ",,,,,,,,,,,,,,,,,,,
,Scrum Master,50,$80,,,," $	4,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	14,000.00 "," $	15,000.00 "," $	(1,000.00)",,,,,,,,,,,,,,,,,
Milestone 2: Development,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: Salesforce Configuration,Developers (4),2000,$50,,,," $	100,000.00 ",,,,,,,,,,,,,,,,,,,
Task 2:Development Tools,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	100,000.00 "," $	105,000.00 "," $	(5,000.00)",,,,,,,,,,,,,,,,,
Milestone 3: Integration,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: ERP System Integration,Integration Specialist,600,$50,,,," $	30,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	30,000.00 "," $	32,000.00 "," $	(2,000.00)",,,,,,,,,,,,,,,,,
Milestone 4: Testing and QA,QA/Testers (2),800,$25,1,$20,," $	20,020.00 ",,,,,,,,,,,,,,,,,,,
Task 1: Testing and Quality Assurance,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 2: Testing Tools,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	20,020.00 "," $	19,020.00 "," $	1,000.00 ",,,,,,,,,,,,,,,,,
Milestone 5: Training,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: User Training Sessions,Trainers (2),400,$40,,,," $	16,000.00 ",,,,,,,,,,,,,,,,,,,
Task 2: Training Materials,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	16,000.00 "," $	14,000.00 "," $	2,000.00 ",,,,,,,,,,,,,,,,,
Milestone 6: Deployment,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: Deployment and Go-Live Support,Development Team,600,$50,,,," $	30,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	30,000.00 "," $	28,000.00 "," $	2,000.00 ",,,,,,,,,,,,,,,,,
Milestone 7: Project Management,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: Ongoing Project Management,Project Manager,200,$100,,,," $	20,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	20,000.00 "," $	20,000.00 ", $	-   ,,,,,,,,,,,,,,,,,
Milestone 8:  Licenses,,,,,,, $	-   ,,,,,,,,,,,,,,,,,,,
Task 1: Salesforce Licenses,,,, $	50.00 ,"$1,000",," $	50,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,Total," $	50,000.00 "," $	50,000.00 ", $	-   ,,,,,,,,,,,,,,,,,
Reserve buffer (Contingency),,,,,,," $	20,000.00 "," $	18,000.00 "," $	2,000.00 ",,,,,,,,,,,,,,,,,
TOTAL,,,,,,," $	300,020.00 "," $	301,020.00 "," $	(1,000.00)",,,,,,,,,,,,,,,,,
